TIMESTAMP	BYTES	TYPE	IP_SRC	URL	CATEGORIES	USER	USER_AGENT	REFERRER	METHOD	ACTION	RESULT_CODE	DOMAIN
continuous	continuous	discrete	string	string	string	string	string	string	string	string	string	string
		class	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
1463847700.0	987.0		192.168.0.219	http://logc215.xiti.com/hit.xiti?s=492987&ts=1463847700641&vtag=5.2.3&ptag=js&r=1600x900x24x24&re=1600x754&hl=18x21x40&lng=fr-FR&idp=1821404723483&jv=1&at=&ac=&p=top_14::news::toulouse_assure_l_essentiel_679023&s2=8&x13=[nonabonnee]&x14=[web_Gratuit]&x16=[	Whitelist_Enterprise;Web Ads/Analytics	user_736	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.lequipe.fr/Rugby/Actualites/Toulouse-assure-l-essentiel-a-oyonnax/679023	GET	OBSERVED	200	
1463847906.0	986.0		192.168.0.219	http://logc215.xiti.com/hit.xiti?s=492987&ts=1463847906743&vtag=5.2.3&ptag=js&r=1600x900x24x24&re=1600x754&hl=18x25x6&lng=fr-FR&idp=1825063759090&jv=1&at=&ac=&p=top_14::news::toulouse_assure_l_essentiel_679023&s2=8&x13=[nonabonnee]&x14=[web_Gratuit]&x16=[m	Whitelist_Enterprise;Web Ads/Analytics	user_170	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.lequipe.fr/Rugby/Actualites/Toulouse-assure-l-essentiel-a-oyonnax/679023	GET	DENIED	407	
1463847906.0	4655.0		192.168.0.219	http://logc215.xiti.com/hit.xiti?s=492987&ts=1463847906743&vtag=5.2.3&ptag=js&r=1600x900x24x24&re=1600x754&hl=18x25x6&lng=fr-FR&idp=1825063759090&jv=1&at=&ac=&p=top_14::news::toulouse_assure_l_essentiel_679023&s2=8&x13=[nonabonnee]&x14=[web_Gratuit]&x16=[m	Whitelist_Enterprise;Web Ads/Analytics	user_736	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.lequipe.fr/Rugby/Actualites/Toulouse-assure-l-essentiel-a-oyonnax/679023	GET	OBSERVED	200	
