TIMESTAMP	BYTES	TYPE	IP_SRC	URL	CATEGORIES	USER	USER_AGENT	REFERRER	METHOD	ACTION	RESULT_CODE	DOMAIN
continuous	continuous	discrete	string	string	string	string	string	string	string	string	string	string
		class	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
1463985270.0	608.0		192.168.0.27	http://www.velo.toulouse.fr/var/pam/storage/images/toulouse/banniere-photos-abo.-100-en-ligne/velotoulouse_affiche-pour-mupi-sur-platine.png/166254-4-fre-FR/VelOToulouse_affiche-pour-MUPI-sur-platine.png_visuel_city.png	Whitelist_Enterprise;Business/Economy	user_170	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.velo.toulouse.fr/Les-stations/Trouver-une-station	GET	DENIED	407	
1463985270.0	4577.0		192.168.0.27	http://www.velo.toulouse.fr/var/pam/storage/images/toulouse/banniere-photos-abo.-100-en-ligne/velotoulouse_affiche-pour-mupi-sur-platine.png/166254-4-fre-FR/VelOToulouse_affiche-pour-MUPI-sur-platine.png_visuel_city.png	Whitelist_Enterprise;Business/Economy	user_732	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.velo.toulouse.fr/Les-stations/Trouver-une-station	GET	OBSERVED	200	
1463985794.0	1325.0		192.168.0.38	http://logc259.at.pagesjaunes.fr/hit.xiti?s=543488&p=Immo::Recherche::Liste_de_resultats&vrn=1&xto=sec-310-msn-[achat_villes_31_haute-garonne_toulouse_achat-maison]-[%7Bcreative%7D]-s-[%2Bmaison%20a%20%2Bvendre%20%2Btoulouse]&x1=Midi_Pyrenees&x2=Haute-Garo	Reference	user_726	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.avendrealouer.fr/vente/toulouse-31/b-maison/loc-101-14281.html	GET	OBSERVED	200	
1463985806.0	1321.0		192.168.0.38	http://logc259.at.pagesjaunes.fr/hit.xiti?s=543488&p=Immo::Recherche::Liste_de_resultats&xtor=sec-310-msn-[achat_villes_31_haute-garonne_toulouse_achat-maison]-[%7Bcreative%7D]-s-[%2Bmaison%20a%20%2Bvendre%20%2Btoulouse]&roinbh=0&x1=Midi_Pyrenees&x2=Haute-	Reference	user_726	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.avendrealouer.fr/recherche.html?pageIndex=1&sortPropertyName=ReleaseDate&sortDirection=Descending&searchTypeID=1&typeGroupCategoryID=4&transactionId=3&localityIds=101-14281&typeGroupIds=28	GET	OBSERVED	200	
1463985863.0	1534.0		192.168.0.38	http://logc259.at.pagesjaunes.fr/hit.xiti?s=543488&p=Immo::Recherche::Liste_de_resultats_sans_resultat_elargie&xtor=sec-310-msn-[achat_villes_31_haute-garonne_toulouse_achat-maison]-[%7Bcreative%7D]-s-[%2Bmaison%20a%20%2Bvendre%20%2Btoulouse]&roinbh=0&x1=M	Reference	user_726	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.avendrealouer.fr/recherche.html?pageIndex=1&sortPropertyName=ReleaseDate&sortDirection=Descending&searchTypeID=1&typeGroupCategoryID=4&transactionId=3&localityIds=4-14281,4-14757&typeGroupIds=28&maximumSurface=90&roomComfortIds=4&bedroomComfortI	GET	OBSERVED	200	
1463985882.0	1329.0		192.168.0.38	http://logc259.at.pagesjaunes.fr/hit.xiti?s=543488&p=Immo::Recherche::Fiche_detaillee&xtor=sec-310-msn-[achat_villes_31_haute-garonne_toulouse_achat-maison]-[%7Bcreative%7D]-s-[%2Bmaison%20a%20%2Bvendre%20%2Btoulouse]&roinbh=0&x1=Midi_Pyrenees&x2=Haute-Gar	Reference	user_726	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.avendrealouer.fr/vente/toulouse-31/b-maison/4-pieces/loc-101-14281/fd-13115027.html	GET	OBSERVED	200	
1463985912.0	1534.0		192.168.0.38	http://logc259.at.pagesjaunes.fr/hit.xiti?s=543488&p=Immo::Recherche::Liste_de_resultats_sans_resultat_elargie&xtor=sec-310-msn-[achat_villes_31_haute-garonne_toulouse_achat-maison]-[%7Bcreative%7D]-s-[%2Bmaison%20a%20%2Bvendre%20%2Btoulouse]&roinbh=0&x1=M	Reference	user_726	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.avendrealouer.fr/recherche.html?pageIndex=1&sortPropertyName=ReleaseDate&sortDirection=Descending&searchTypeID=1&typeGroupCategoryID=4&transactionId=3&localityIds=4-14281,4-14757&typeGroupIds=28&maximumSurface=90&roomComfortIds=4&bedroomComfortI	GET	OBSERVED	200	
1463985914.0	1321.0		192.168.0.38	http://logc259.at.pagesjaunes.fr/hit.xiti?s=543488&p=Immo::Recherche::Liste_de_resultats&xtor=sec-310-msn-[achat_villes_31_haute-garonne_toulouse_achat-maison]-[%7Bcreative%7D]-s-[%2Bmaison%20a%20%2Bvendre%20%2Btoulouse]&roinbh=0&x1=Midi_Pyrenees&x2=Haute-	Reference	user_170	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.avendrealouer.fr/recherche.html?pageIndex=1&sortPropertyName=ReleaseDate&sortDirection=Descending&searchTypeID=1&typeGroupCategoryID=4&transactionId=3&localityIds=101-14281&typeGroupIds=28	GET	DENIED	407	
