TIMESTAMP	BYTES	TYPE	IP_SRC	URL	CATEGORIES	USER	USER_AGENT	REFERRER	METHOD	ACTION	RESULT_CODE	DOMAIN
continuous	continuous	discrete	string	string	string	string	string	string	string	string	string	string
		class	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
1464073378.0	650.0		192.168.0.202	http://www.cerise-hotels-resorts.com/_upload/ressources/etablissements/toulouse/chambres/appartement_une_chambre/vignettes/cerise_residence_de_diane_toulouse_appartement_une_chambre_2_800_600_175_131.jpg	Travel	user_170	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.cerise-hotels-resorts.com/en/residence-de-diane-toulouse-rooms.html	GET	DENIED	407	
1464073378.0	650.0		192.168.0.202	http://www.cerise-hotels-resorts.com/_upload/ressources/etablissements/toulouse/chambres/appartement_une_chambre/vignettes/cerise_residence_de_diane_toulouse_appartement_une_chambre_3_800_600_175_131.jpg	Travel	user_170	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.cerise-hotels-resorts.com/en/residence-de-diane-toulouse-rooms.html	GET	DENIED	407	
1464073378.0	3903.0		192.168.0.202	http://www.cerise-hotels-resorts.com/_upload/ressources/etablissements/toulouse/chambres/appartement_une_chambre/vignettes/cerise_residence_de_diane_toulouse_appartement_une_chambre_2_800_600_175_131.jpg	Travel	user_780	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.cerise-hotels-resorts.com/en/residence-de-diane-toulouse-rooms.html	GET	OBSERVED	200	
1464073378.0	650.0		192.168.0.202	http://www.cerise-hotels-resorts.com/_upload/ressources/etablissements/toulouse/chambres/appartement_une_chambre/vignettes/cerise_residence_de_diane_toulouse_appartement_une_chambre_4_800_600_175_131.jpg	Travel	user_780	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.cerise-hotels-resorts.com/en/residence-de-diane-toulouse-rooms.html	GET	OBSERVED	200	
1464073378.0	648.0		192.168.0.202	http://www.cerise-hotels-resorts.com/_upload/ressources/etablissements/toulouse/chambres/appartement_une_chambre/vignettes/cerise_residence_de_diane_toulouse_appartement_une_chambre_800_600_175_131.jpg	Travel	user_780	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.cerise-hotels-resorts.com/en/residence-de-diane-toulouse-rooms.html	GET	OBSERVED	200	
1464073378.0	3903.0		192.168.0.202	http://www.cerise-hotels-resorts.com/_upload/ressources/etablissements/toulouse/chambres/appartement_une_chambre/vignettes/cerise_residence_de_diane_toulouse_appartement_une_chambre_3_800_600_175_131.jpg	Travel	user_780	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.cerise-hotels-resorts.com/en/residence-de-diane-toulouse-rooms.html	GET	OBSERVED	200	
1464081988.0	1020.0		192.168.0.211	http://logp7.xiti.com/hit.xiti?s=225855&s2=2&p=article::l_usine_de_l_aero::390777-a_toulouse_airbus_s_apprete_a_accueillir_une_nouvelle_activite_d_amenagement_cabine_des_a320&vrn=1&tag=quotidien-des-usines-midi-pyrenees-aeronautique-airbus-l-usine-de-l-aer	Whitelist_Enterprise;Web Ads/Analytics	user_781	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.usinenouvelle.com/article/a-toulouse-airbus-s-apprete-a-accueillir-une-nouvelle-activite-d-amenagement-cabine-des-a320.N390777	GET	OBSERVED	200	
1464090454.0	1020.0		192.168.0.244	http://logp7.xiti.com/hit.xiti?s=225855&s2=2&p=article::l_usine_de_l_aero::390777-a_toulouse_airbus_s_apprete_a_accueillir_une_nouvelle_activite_d_amenagement_cabine_des_a320&vrn=1&tag=quotidien-des-usines-midi-pyrenees-aeronautique-airbus-l-usine-de-l-aer	Whitelist_Enterprise;Web Ads/Analytics	user_791	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.usinenouvelle.com/article/a-toulouse-airbus-s-apprete-a-accueillir-une-nouvelle-activite-d-amenagement-cabine-des-a320.N390777	GET	OBSERVED	200	
1464100845.0	1636.0		192.168.0.95	http://www.adagio-city.com/lien_externe.svlt?goto=fiche_hotel&code_langue=de&code_hotel=7279&merchantid=ppc-adg-mar-goo-ww-de-sear&sourceid=bp-cen&xtor=SEC-701-GOO-[ppc-adg-mar-goo-ww-de-fr-exa-sear-bp-cen]-[adg-v4041-toulouse_aeroport]-S-[adagio%20toulous	Travel	user_738	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	http://www.googleadservices.com/pagead/aclk?sa=L&ai=CNJyy42dEV-WECqLA7gaiha2wDbLMtPQDmqGWoqcClYzO4D8IABABYPsBoAHf4NDRA8gBAakCO7uB7Zy5sj6qBCVP0GhV5Cxulv8jR7j0hi8bwut_5BlRo8lTGBU5Cld_D8N9Mfr4ugUTCP-lxdH48swCFSEGwAoddpQD3soFAIgGAYAHurDHLZAHA6gHpr4b2AcB&ei=42d	GET	OBSERVED	302	
